"name","game_number","minutes_played","field_goals_made","field_goals_attempted","field_goal_percentage","three_points_made","three_points_attempted","three_point_percentage","free_throws_made","free_throws_attempted","free_throw_percentage","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points","plus_minus"
Luka Garza,25,2,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,2,0,3,8
Luka Garza,28,9,4,6,0.667,1,2,0.5,0,2,0.0,3,0,3,0,0,0,1,2,9,-7
Luka Garza,29,7,2,4,0.5,0,2,0.0,1,2,0.5,2,0,2,0,0,0,0,1,5,-1
Luka Garza,30,4,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-7
Luka Garza,31,22,1,1,1.0,0,0,,1,2,0.5,3,0,3,0,0,0,0,0,3,-11
Luka Garza,32,20,7,14,0.5,2,5,0.4,4,5,0.8,5,1,6,2,0,0,1,6,20,-17
Luka Garza,33,39,1,10,0.1,1,4,0.25,1,2,0.5,4,5,9,2,1,1,0,2,4,14
Luka Garza,34,39,7,12,0.583,1,2,0.5,5,8,0.625,9,5,14,0,1,0,3,4,20,15
Luka Garza,35,15,2,5,0.4,0,1,0.0,0,0,,3,1,4,1,0,0,3,4,4,3
Luka Garza,36,22,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,1,3,4
Luka Garza,37,18,3,8,0.375,1,4,0.25,1,1,1.0,1,3,4,3,0,0,0,1,8,9
Luka Garza,40,10,2,6,0.333,0,1,0.0,2,4,0.5,2,0,2,0,0,2,0,0,6,-9
Luka Garza,42,6,2,3,0.667,1,1,1.0,0,0,,0,3,3,0,0,0,1,1,5,-2
Luka Garza,55,9,3,6,0.5,1,1,1.0,0,0,,2,1,3,0,0,0,1,2,7,8
Luka Garza,56,3,1,1,1.0,0,0,,0,0,,1,0,1,1,0,0,0,0,2,3
Luka Garza,67,1,1,1,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,1,4,5
Luka Garza,72,16,2,4,0.5,0,1,0.0,7,11,0.636,1,1,2,0,1,1,0,3,11,3
Luka Garza,82,30,8,18,0.444,2,7,0.286,2,6,0.333,7,3,10,4,0,1,1,3,20,-22
Jerami Grant,1,32,8,20,0.4,3,5,0.6,5,5,1.0,3,3,6,2,1,1,1,3,24,-10
Jerami Grant,2,31,4,13,0.308,0,3,0.0,1,2,0.5,2,3,5,1,2,4,4,2,9,-10
Jerami Grant,4,36,4,14,0.286,1,5,0.2,5,7,0.714,3,3,6,3,4,1,1,2,14,-12
Jerami Grant,5,35,6,14,0.429,1,6,0.167,9,10,0.9,2,5,7,5,1,0,1,2,22,-3
Jerami Grant,6,27,5,15,0.333,1,5,0.2,0,1,0.0,0,4,4,0,1,0,4,5,11,-21
Jerami Grant,7,23,8,13,0.615,4,8,0.5,1,2,0.5,0,2,2,1,1,1,1,0,21,-18
Jerami Grant,8,37,11,22,0.5,2,6,0.333,3,3,1.0,0,6,6,4,1,1,4,1,27,-2
Jerami Grant,9,39,0,9,0.0,0,4,0.0,5,6,0.833,0,4,4,4,0,2,3,0,5,-12
Jerami Grant,10,34,12,23,0.522,4,9,0.444,7,9,0.778,0,5,5,3,0,2,1,2,35,8
Jerami Grant,11,24,5,12,0.417,2,4,0.5,4,4,1.0,0,2,2,1,2,1,2,2,16,-11
Jerami Grant,12,36,8,16,0.5,2,3,0.667,6,6,1.0,3,2,5,5,0,1,2,4,24,1
Jerami Grant,13,27,3,10,0.3,1,5,0.2,0,0,,0,1,1,1,0,0,1,1,7,-20
Jerami Grant,14,34,5,14,0.357,0,5,0.0,9,12,0.75,1,2,3,0,2,0,2,1,19,2
Jerami Grant,15,34,6,17,0.353,3,10,0.3,4,6,0.667,0,4,4,2,2,3,2,3,19,-11
Jerami Grant,16,37,12,25,0.48,5,9,0.556,7,10,0.7,0,4,4,3,1,0,1,1,36,-4
Jerami Grant,17,34,6,17,0.353,1,5,0.2,8,9,0.889,1,6,7,3,3,0,0,2,21,5
Jerami Grant,18,28,5,13,0.385,1,6,0.167,2,2,1.0,1,3,4,1,2,0,1,3,13,-17
Jerami Grant,19,33,5,16,0.313,1,4,0.25,9,9,1.0,1,9,10,3,0,0,1,4,20,-9
Jerami Grant,20,22,11,20,0.55,4,6,0.667,6,6,1.0,2,4,6,4,0,1,4,4,32,-3
Jerami Grant,21,35,4,14,0.286,0,4,0.0,6,7,0.857,0,3,3,3,0,1,5,2,14,-7
Jerami Grant,22,38,10,19,0.526,2,3,0.667,12,14,0.857,1,5,6,3,2,1,1,2,34,-7
Jerami Grant,23,35,9,16,0.563,1,4,0.25,1,1,1.0,1,5,6,5,0,2,3,1,20,-7
Jerami Grant,24,39,6,16,0.375,2,2,1.0,14,15,0.933,1,4,5,3,2,1,3,3,28,-2
Jerami Grant,25,22,5,14,0.357,1,6,0.167,0,0,,1,4,5,2,0,4,3,4,11,-13
Jerami Grant,50,28,6,13,0.462,3,6,0.5,2,3,0.667,0,1,1,1,0,0,3,4,17,-10
Jerami Grant,51,31,7,16,0.438,3,8,0.375,3,5,0.6,0,5,5,1,0,2,3,2,20,-4
Jerami Grant,52,25,3,12,0.25,1,3,0.333,3,3,1.0,0,3,3,3,0,0,1,1,10,-8
Jerami Grant,53,31,3,11,0.273,1,4,0.25,3,3,1.0,0,2,2,5,0,1,1,2,10,5
Jerami Grant,54,30,5,16,0.313,1,6,0.167,4,7,0.571,0,4,4,1,1,0,0,2,15,-11
Jerami Grant,55,29,7,13,0.538,0,4,0.0,6,7,0.857,0,4,4,4,1,2,3,3,20,-16
Jerami Grant,56,27,6,12,0.5,1,4,0.25,2,2,1.0,0,3,3,3,0,2,0,1,15,-10
Jerami Grant,57,32,4,10,0.4,2,3,0.667,4,4,1.0,0,1,1,0,1,1,3,2,14,0
Jerami Grant,58,29,8,13,0.615,4,6,0.667,4,4,1.0,0,2,2,3,2,0,1,2,24,5
Jerami Grant,59,31,4,15,0.267,2,7,0.286,6,8,0.75,0,3,3,1,2,1,1,3,16,7
Jerami Grant,60,30,3,15,0.2,0,6,0.0,5,5,1.0,0,1,1,1,0,1,1,3,11,-9
Jerami Grant,61,33,11,19,0.579,4,10,0.4,0,0,,0,4,4,2,1,1,4,4,26,-1
Jerami Grant,62,35,9,17,0.529,3,5,0.6,5,5,1.0,0,3,3,4,1,1,1,2,26,6
Jerami Grant,63,34,8,14,0.571,2,5,0.4,8,9,0.889,1,2,3,4,0,0,1,3,26,8
Jerami Grant,64,26,2,7,0.286,0,1,0.0,4,6,0.667,2,3,5,5,1,3,0,2,8,5
Jerami Grant,65,34,8,15,0.533,3,7,0.429,4,6,0.667,0,4,4,2,0,0,1,2,23,0
Jerami Grant,66,32,4,10,0.4,1,5,0.2,3,5,0.6,0,3,3,2,2,1,2,3,12,-7
Jerami Grant,67,37,6,17,0.353,3,9,0.333,5,5,1.0,0,4,4,0,1,3,2,3,20,-11
Jerami Grant,68,36,7,15,0.467,4,8,0.5,3,3,1.0,0,5,5,1,0,1,2,4,21,1
Jerami Grant,69,38,8,20,0.4,1,5,0.2,5,8,0.625,0,4,4,0,2,1,0,1,22,-12
Jerami Grant,71,35,13,22,0.591,7,9,0.778,7,7,1.0,1,1,2,1,1,1,2,2,40,4
Jerami Grant,73,21,6,11,0.545,2,4,0.5,7,8,0.875,1,7,8,4,1,0,0,2,21,20
Jerami Grant,74,7,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,2,0,5,2
Killian Hayes,1,20,0,6,0.0,0,0,,0,0,,1,4,5,2,0,0,2,1,0,-11
Killian Hayes,2,19,1,5,0.2,0,2,0.0,0,0,,0,1,1,3,1,0,1,3,2,-11
Killian Hayes,3,26,4,11,0.364,2,3,0.667,2,2,1.0,0,1,1,3,1,1,0,2,12,-6
Killian Hayes,4,31,4,11,0.364,1,4,0.25,0,0,,1,4,5,4,2,1,1,1,9,-16
Killian Hayes,5,21,1,5,0.2,1,4,0.25,0,0,,1,0,1,3,0,0,3,2,3,-8
Killian Hayes,6,22,1,5,0.2,0,1,0.0,4,4,1.0,1,1,2,2,5,0,4,3,6,-21
Killian Hayes,7,26,3,7,0.429,2,4,0.5,0,0,,0,3,3,4,1,0,3,5,8,-14
Killian Hayes,8,28,4,8,0.5,2,3,0.667,0,0,,2,2,4,2,1,0,0,1,10,6
Killian Hayes,10,30,1,4,0.25,1,3,0.333,1,2,0.5,1,0,1,3,0,0,1,3,4,1
Killian Hayes,11,27,2,9,0.222,1,2,0.5,0,0,,1,5,6,5,6,0,1,1,5,-3
Killian Hayes,12,31,4,7,0.571,3,4,0.75,2,2,1.0,2,5,7,10,0,1,3,4,13,7
Killian Hayes,13,22,0,5,0.0,0,4,0.0,0,0,,0,5,5,3,1,1,2,1,0,-18
Killian Hayes,14,19,2,2,1.0,0,0,,0,0,,1,3,4,4,3,1,3,4,4,-2
Killian Hayes,15,18,1,4,0.25,1,2,0.5,0,0,,0,4,4,1,1,0,1,5,3,-11
Killian Hayes,20,28,2,4,0.5,0,2,0.0,2,2,1.0,0,3,3,8,0,0,1,4,6,-3
Killian Hayes,21,31,3,8,0.375,1,5,0.2,4,4,1.0,1,5,6,2,0,0,1,3,11,-5
Killian Hayes,22,32,4,9,0.444,2,4,0.5,0,0,,0,6,6,3,0,2,1,3,10,8
Killian Hayes,23,27,3,9,0.333,2,7,0.286,1,1,1.0,0,2,2,5,1,1,3,4,9,-7
Killian Hayes,24,22,1,4,0.25,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,4,-14
Killian Hayes,25,27,3,9,0.333,1,3,0.333,0,0,,0,4,4,6,0,0,0,3,7,-19
Killian Hayes,26,20,2,6,0.333,1,4,0.25,1,2,0.5,0,1,1,3,1,1,0,1,6,-16
Killian Hayes,27,29,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,1,1,2,2,2
Killian Hayes,28,35,4,11,0.364,0,4,0.0,0,0,,1,3,4,10,2,1,3,1,8,-4
Killian Hayes,29,22,3,7,0.429,1,3,0.333,4,4,1.0,0,2,2,1,1,0,2,4,11,9
Killian Hayes,35,23,2,5,0.4,0,3,0.0,1,2,0.5,0,2,2,4,1,0,2,2,5,3
Killian Hayes,36,24,3,5,0.6,1,2,0.5,1,2,0.5,0,1,1,4,3,0,0,3,8,-5
Killian Hayes,37,29,2,10,0.2,1,5,0.2,0,0,,0,2,2,2,0,1,4,1,5,-28
Killian Hayes,38,23,2,4,0.5,1,3,0.333,0,0,,0,1,1,3,1,0,2,2,5,-2
Killian Hayes,39,22,2,8,0.25,1,1,1.0,0,0,,0,2,2,3,1,0,0,1,5,5
Killian Hayes,40,33,4,11,0.364,0,4,0.0,0,0,,1,2,3,5,4,0,3,3,8,-33
Killian Hayes,41,25,2,5,0.4,0,1,0.0,1,2,0.5,2,4,6,5,2,1,1,4,5,11
Killian Hayes,42,26,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,5,0,1,1,2,9,-18
Killian Hayes,43,8,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,0,-11
Killian Hayes,46,24,3,5,0.6,2,3,0.667,0,0,,0,3,3,5,0,2,3,2,8,1
Killian Hayes,47,28,2,8,0.25,0,3,0.0,2,2,1.0,1,1,2,8,2,0,0,3,6,5
Killian Hayes,48,24,3,8,0.375,0,3,0.0,5,6,0.833,0,6,6,6,1,2,0,3,11,-10
Killian Hayes,49,23,1,4,0.25,0,0,,2,2,1.0,0,2,2,6,0,0,1,2,4,16
Killian Hayes,50,19,3,6,0.5,0,2,0.0,1,3,0.333,0,2,2,2,1,0,2,1,7,-2
Killian Hayes,51,20,1,4,0.25,0,1,0.0,0,0,,0,1,1,4,0,2,3,2,2,-13
Killian Hayes,52,23,5,11,0.455,1,4,0.25,0,1,0.0,1,4,5,5,0,2,1,5,11,0
Killian Hayes,53,23,5,7,0.714,0,0,,0,0,,0,3,3,8,1,1,3,4,10,-9
Killian Hayes,54,21,3,5,0.6,0,1,0.0,0,0,,1,1,2,2,1,0,8,4,6,-27
Killian Hayes,55,12,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,4,0,0,3,6,2,-13
Killian Hayes,56,27,5,9,0.556,1,2,0.5,0,0,,1,2,3,12,1,0,1,4,11,-14
Killian Hayes,57,12,0,5,0.0,0,1,0.0,0,0,,1,0,1,3,0,0,2,1,0,-14
Killian Hayes,58,18,2,6,0.333,0,0,,0,0,,2,0,2,2,1,0,2,3,4,-6
Killian Hayes,59,24,1,4,0.25,0,1,0.0,0,0,,0,5,5,5,2,1,0,2,2,0
Killian Hayes,60,18,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,4,1,1,3,4,3,-4
Killian Hayes,61,30,3,7,0.429,0,3,0.0,0,1,0.0,3,4,7,7,1,0,2,4,6,7
Killian Hayes,62,26,2,6,0.333,0,2,0.0,3,4,0.75,2,5,7,5,3,1,2,3,7,1
Killian Hayes,63,18,0,3,0.0,0,2,0.0,0,0,,0,1,1,3,0,0,1,3,0,-7
Killian Hayes,64,20,1,6,0.167,1,2,0.5,0,0,,1,3,4,4,1,1,1,2,3,1
Killian Hayes,65,30,5,8,0.625,1,3,0.333,2,4,0.5,1,3,4,6,1,0,1,2,13,13
Killian Hayes,69,30,4,10,0.4,1,4,0.25,0,0,,0,4,4,8,1,0,3,6,9,8
Killian Hayes,70,11,0,2,0.0,0,0,,0,0,,0,0,0,5,0,0,0,0,0,-1
Killian Hayes,72,35,4,11,0.364,0,2,0.0,4,5,0.8,1,4,5,6,1,1,4,6,12,-11
Killian Hayes,73,33,5,9,0.556,1,2,0.5,2,3,0.667,2,6,8,5,1,0,3,4,13,3
Killian Hayes,74,28,4,8,0.5,2,2,1.0,0,0,,0,6,6,4,2,3,4,3,10,-6
Killian Hayes,75,23,3,9,0.333,0,2,0.0,0,0,,1,5,6,2,1,0,2,4,6,-11
Killian Hayes,76,32,6,10,0.6,1,3,0.333,0,0,,1,3,4,3,4,1,0,2,13,-3
Killian Hayes,77,26,5,8,0.625,0,2,0.0,0,0,,0,1,1,2,3,0,1,3,10,16
Killian Hayes,78,40,12,25,0.48,2,9,0.222,0,0,,1,6,7,8,5,2,3,4,26,-5
Killian Hayes,79,22,4,9,0.444,2,3,0.667,0,0,,0,0,0,7,1,0,1,2,10,2
Killian Hayes,80,30,3,9,0.333,1,3,0.333,4,4,1.0,0,4,4,2,2,0,1,4,11,-23
Killian Hayes,81,27,3,9,0.333,0,5,0.0,0,0,,0,3,3,3,0,1,0,1,6,-41
Killian Hayes,82,10,3,7,0.429,1,3,0.333,1,2,0.5,0,1,1,1,1,0,0,2,8,14
Frank Jackson,1,28,3,8,0.375,1,5,0.2,0,0,,0,2,2,0,0,0,2,4,7,-13
Frank Jackson,2,20,2,10,0.2,1,4,0.25,0,0,,0,1,1,1,0,0,1,2,5,-15
Frank Jackson,3,14,2,7,0.286,0,4,0.0,0,0,,0,0,0,0,0,0,2,1,4,-21
Frank Jackson,4,23,3,7,0.429,2,5,0.4,1,1,1.0,0,1,1,1,1,0,1,1,9,11
Frank Jackson,5,18,2,3,0.667,1,2,0.5,0,0,,2,1,3,1,1,0,1,0,5,1
Frank Jackson,6,18,3,8,0.375,0,4,0.0,0,0,,0,2,2,0,2,0,1,0,6,-14
Frank Jackson,7,15,2,7,0.286,0,5,0.0,4,7,0.571,0,2,2,1,0,0,0,0,8,-8
Frank Jackson,8,13,3,6,0.5,2,4,0.5,0,0,,0,1,1,0,0,0,0,2,8,-11
Frank Jackson,9,15,4,10,0.4,2,6,0.333,0,0,,0,2,2,0,1,1,0,1,10,11
Frank Jackson,10,15,0,3,0.0,0,3,0.0,0,0,,0,0,0,0,0,0,0,1,0,3
Frank Jackson,11,23,4,8,0.5,2,5,0.4,2,3,0.667,0,2,2,2,0,1,1,2,12,-13
Frank Jackson,12,15,3,8,0.375,2,7,0.286,6,7,0.857,0,0,0,1,0,0,0,3,14,8
Frank Jackson,13,18,3,6,0.5,2,3,0.667,0,0,,0,0,0,0,1,0,2,0,8,4
Frank Jackson,14,26,4,7,0.571,3,5,0.6,0,0,,0,1,1,2,1,0,0,2,11,11
Frank Jackson,15,32,8,15,0.533,5,12,0.417,6,6,1.0,0,2,2,0,3,0,0,1,27,20
Frank Jackson,16,25,5,11,0.455,3,6,0.5,2,2,1.0,1,1,2,0,0,3,1,2,15,-13
Frank Jackson,17,30,5,12,0.417,3,9,0.333,0,0,,1,0,1,1,0,0,0,6,13,-17
Frank Jackson,18,23,3,10,0.3,0,5,0.0,0,0,,0,2,2,1,0,0,0,0,6,1
Frank Jackson,19,22,3,8,0.375,1,5,0.2,3,3,1.0,1,0,1,0,0,0,4,0,10,-9
Frank Jackson,20,27,5,13,0.385,3,8,0.375,4,5,0.8,0,2,2,5,1,0,1,0,17,9
Frank Jackson,21,23,3,10,0.3,2,7,0.286,2,2,1.0,0,2,2,0,0,0,1,2,10,-11
Frank Jackson,22,18,3,9,0.333,1,6,0.167,0,0,,0,0,0,1,1,0,0,1,7,-13
Frank Jackson,23,17,2,6,0.333,0,1,0.0,0,0,,1,0,1,0,0,0,2,2,4,-10
Frank Jackson,24,22,6,9,0.667,5,7,0.714,2,2,1.0,0,2,2,1,1,0,0,1,19,10
Frank Jackson,25,21,3,9,0.333,2,5,0.4,0,0,,0,2,2,3,0,0,2,1,8,-1
Frank Jackson,26,31,8,19,0.421,6,13,0.462,3,4,0.75,0,1,1,1,0,1,2,3,25,-6
Frank Jackson,27,25,7,11,0.636,3,6,0.5,1,1,1.0,0,3,3,1,0,0,0,1,18,-7
Frank Jackson,28,23,5,13,0.385,1,7,0.143,1,1,1.0,1,2,3,0,0,0,2,2,12,-13
Frank Jackson,29,22,4,9,0.444,2,7,0.286,2,2,1.0,1,0,1,1,0,0,0,3,12,-5
Frank Jackson,30,19,1,5,0.2,0,1,0.0,1,2,0.5,1,0,1,3,0,0,0,1,3,-4
Frank Jackson,31,39,6,15,0.4,4,10,0.4,3,3,1.0,0,4,4,1,1,1,1,6,19,-4
Frank Jackson,32,33,7,19,0.368,2,5,0.4,1,2,0.5,2,0,2,2,1,0,0,1,17,-27
Frank Jackson,33,13,1,4,0.25,1,4,0.25,0,0,,0,2,2,1,1,1,0,2,3,-3
Frank Jackson,47,13,5,11,0.455,1,5,0.2,0,0,,0,2,2,0,0,0,0,0,11,3
Frank Jackson,48,21,4,6,0.667,1,3,0.333,3,5,0.6,0,0,0,0,0,0,1,3,12,-1
Frank Jackson,49,25,7,10,0.7,3,6,0.5,2,3,0.667,0,3,3,1,0,0,1,4,19,21
Frank Jackson,50,22,6,14,0.429,1,7,0.143,1,1,1.0,0,1,1,0,1,1,2,4,14,-7
Frank Jackson,51,27,8,14,0.571,5,11,0.455,4,5,0.8,1,2,3,3,0,0,1,2,25,-9
Frank Jackson,52,22,2,7,0.286,1,2,0.5,1,1,1.0,0,0,0,1,2,0,0,3,6,-9
Frank Jackson,53,24,4,9,0.444,0,1,0.0,1,2,0.5,1,3,4,1,1,0,0,0,9,-4
